Sequence number	Sequence ID	V-DOMAIN Functionality	V-GENE and allele	V-REGION Nb of positions including IMGT gaps (nt)	V-REGION Nb of nucleotides	V-REGION Nb of identical nucleotides	V-REGION Nb of mutations	V-REGION Nb of silent mutations	V-REGION Nb of nonsilent mutations	V-REGION a>g	V-REGION g>a	V-REGION c>t	V-REGION t>c	V-REGION a>c	V-REGION c>a	V-REGION a>t	V-REGION t>a	V-REGION g>c	V-REGION c>g	V-REGION g>t	V-REGION t>g	FR1-IMGT Nb of positions including IMGT gaps (nt)	FR1-IMGT Nb of nucleotides	FR1-IMGT Nb of identical nucleotides	FR1-IMGT Nb of mutations	FR1-IMGT Nb of silent mutations	FR1-IMGT Nb of nonsilent mutations	FR1-IMGT a>g	FR1-IMGT g>a	FR1-IMGT c>t	FR1-IMGT t>c	FR1-IMGT a>c	FR1-IMGT c>a	FR1-IMGT a>t	FR1-IMGT t>a	FR1-IMGT g>c	FR1-IMGT c>g	FR1-IMGT g>t	FR1-IMGT t>g	CDR1-IMGT Nb of positions including IMGT gaps (nt)	CDR1-IMGT Nb of nucleotides	CDR1-IMGT Nb of identical nucleotides	CDR1-IMGT Nb of mutations	CDR1-IMGT Nb of silent mutations	CDR1-IMGT Nb of nonsilent mutations	CDR1-IMGT a>g	CDR1-IMGT g>a	CDR1-IMGT c>t	CDR1-IMGT t>c	CDR1-IMGT a>c	CDR1-IMGT c>a	CDR1-IMGT a>t	CDR1-IMGT t>a	CDR1-IMGT g>c	CDR1-IMGT c>g	CDR1-IMGT g>t	CDR1-IMGT t>g	FR2-IMGT Nb of positions including IMGT gaps (nt)	FR2-IMGT Nb of nucleotides	FR2-IMGT Nb of identical nucleotides	FR2-IMGT Nb of mutations	FR2-IMGT Nb of silent mutations	FR2-IMGT Nb of nonsilent mutations	FR2-IMGT a>g	FR2-IMGT g>a	FR2-IMGT c>t	FR2-IMGT t>c	FR2-IMGT a>c	FR2-IMGT c>a	FR2-IMGT a>t	FR2-IMGT t>a	FR2-IMGT g>c	FR2-IMGT c>g	FR2-IMGT g>t	FR2-IMGT t>g	CDR2-IMGT Nb of positions including IMGT gaps (nt)	CDR2-IMGT Nb of nucleotides	CDR2-IMGT Nb of identical nucleotides	CDR2-IMGT Nb of mutations	CDR2-IMGT Nb of silent mutations	CDR2-IMGT Nb of nonsilent mutations	CDR2-IMGT a>g	CDR2-IMGT g>a	CDR2-IMGT c>t	CDR2-IMGT t>c	CDR2-IMGT a>c	CDR2-IMGT c>a	CDR2-IMGT a>t	CDR2-IMGT t>a	CDR2-IMGT g>c	CDR2-IMGT c>g	CDR2-IMGT g>t	CDR2-IMGT t>g	FR3-IMGT Nb of positions including IMGT gaps (nt)	FR3-IMGT Nb of nucleotides	FR3-IMGT Nb of identical nucleotides	FR3-IMGT Nb of mutations	FR3-IMGT Nb of silent mutations	FR3-IMGT Nb of nonsilent mutations	FR3-IMGT a>g	FR3-IMGT g>a	FR3-IMGT c>t	FR3-IMGT t>c	FR3-IMGT a>c	FR3-IMGT c>a	FR3-IMGT a>t	FR3-IMGT t>a	FR3-IMGT g>c	FR3-IMGT c>g	FR3-IMGT g>t	FR3-IMGT t>g	CDR3-IMGT Nb of positions including IMGT gaps (nt)	CDR3-IMGT Nb of nucleotides	CDR3-IMGT Nb of identical nucleotides	CDR3-IMGT Nb of mutations	CDR3-IMGT Nb of silent mutations	CDR3-IMGT Nb of nonsilent mutations	CDR3-IMGT a>g	CDR3-IMGT g>a	CDR3-IMGT c>t	CDR3-IMGT t>c	CDR3-IMGT a>c	CDR3-IMGT c>a	CDR3-IMGT a>t	CDR3-IMGT t>a	CDR3-IMGT g>c	CDR3-IMGT c>g	CDR3-IMGT g>t	CDR3-IMGT t>g	
11	AKF02495.1_anti-influenza_H1N1_hemagglutinin_immu	productive	Homsap IGKV2-28*01 F, or Homsap IGKV2D-28*01 F	332 (335)	299 (302)	218 (219)	81 (83)	66 (68)	15	6	3	0	28 (29)	9	2 (3)	0	10	4	16	0	3	78	78	56	22	22	0	0	0	0	7	2	0	0	5	1	7	0	0	36	33	22	11	4	7	1	1	0	4	1	1	0	1	0	2	0	0	51	51	41	10	9	1	0	0	0	3	2	0	0	1	1	2	0	1	30	9	4	5	4	1	0	0	0	2	0	0	0	1	0	1	0	1	117	108	82	26	24	2	2	1	0	10	4	1	0	2	2	3	0	1	20 (23)	20 (23)	13 (14)	7 (9)	3 (5)	4	3	1	0	2 (3)	0	0 (1)	0	0	0	1	0	0	
12	AKF02494.1_anti-influenza_H1N1_hemagglutinin_immu	productive	Homsap IGKV2-28*01 F, or Homsap IGKV2D-28*01 F	332 (335)	299 (302)	218 (219)	81 (83)	66 (68)	15	6	2	0	27 (28)	9	2 (3)	0	10	5	16	0	4	78	78	56	22	22	0	0	0	0	7	2	0	0	5	1	7	0	0	36	33	22	11	4	7	1	1	0	4	1	1	0	1	0	2	0	0	51	51	41	10	9	1	0	0	0	3	2	0	0	1	1	2	0	1	30	9	3	6	3	3	0	0	0	2	0	0	0	1	1	1	0	1	117	108	83	25	25	0	2	0	0	9	4	1	0	2	2	3	0	2	20 (23)	20 (23)	13 (14)	7 (9)	3 (5)	4	3	1	0	2 (3)	0	0 (1)	0	0	0	1	0	0	
13	AKF02493.1_anti-influenza_H1N1_hemagglutinin_immu	productive	Homsap IGKV2-28*01 F, or Homsap IGKV2D-28*01 F	332 (335)	299 (302)	218 (219)	81 (83)	66 (68)	15	6	2	0	28 (29)	10	2 (3)	0	10	4	16	0	3	78	78	56	22	22	0	0	0	0	7	2	0	0	5	1	7	0	0	36	33	23	10	4	6	1	0	0	3	1	1	0	1	0	2	0	1	51	51	40	11	10	1	0	0	0	4	2	0	0	1	1	3	0	0	30	9	4	5	4	1	0	0	0	2	0	0	0	1	0	1	0	1	117	108	81	27	23	4	3	1	0	10	4	1	0	2	2	3	0	1	20 (23)	20 (23)	14 (15)	6 (8)	3 (5)	3	2	1	0	2 (3)	1	0 (1)	0	0	0	0	0	0	
14	AKF02492.1_anti-influenza_H1N1_hemagglutinin_immu	productive	Homsap IGKV2-28*01 F, or Homsap IGKV2D-28*01 F	332 (335)	299 (302)	217 (218)	82 (84)	64 (66)	18	7	2	0	27 (28)	9	2 (3)	1	9	5	15	0	5	78	78	56	22	22	0	0	0	0	7	2	0	0	5	1	7	0	0	36	33	20	13	3	10	2	1	0	3	1	1	1	1	0	2	0	1	51	51	40	11	10	1	0	0	0	4	2	0	0	1	1	3	0	0	30	9	3	6	3	3	0	0	0	2	0	0	0	1	1	1	0	1	117	108	84	24	22	2	2	0	0	9	4	1	0	1	2	2	0	3	20 (23)	20 (23)	14 (15)	6 (8)	4 (6)	2	3	1	0	2 (3)	0	0 (1)	0	0	0	0	0	0	
15	AKF02491.1_anti-influenza_H1N1_hemagglutinin_immu	productive	Homsap IGKV2-28*01 F, or Homsap IGKV2D-28*01 F	332 (335)	299 (302)	217 (218)	82 (84)	66 (68)	16	7	1	0	26 (27)	9	3 (4)	0	10	5	16	0	5	78	78	56	22	22	0	0	0	0	7	2	0	0	5	1	7	0	0	36	33	21	12	4	8	2	0	0	3	1	2	0	1	0	2	0	1	51	51	41	10	9	1	0	0	0	3	2	0	0	1	1	2	0	1	30	9	3	6	3	3	0	0	0	2	0	0	0	1	1	1	0	1	117	108	83	25	25	0	2	0	0	9	4	1	0	2	2	3	0	2	20 (23)	20 (23)	13 (14)	7 (9)	3 (5)	4	3	1	0	2 (3)	0	0 (1)	0	0	0	1	0	0	
16	AKF02490.1_anti-influenza_H1N1_hemagglutinin_immu	productive	Homsap IGKV3D-11*02 F	335	287	221	66	55	11	8	1	0	23	8	2	0	5	4	10	0	5	78	78	55	23	23	0	3	0	0	7	3	0	0	4	1	5	0	0	36	18	15	3	2	1	0	1	0	1	0	0	0	0	0	0	0	1	51	51	43	8	8	0	2	0	0	4	0	0	0	0	0	2	0	0	30	9	5	4	4	0	0	0	0	1	1	0	0	1	0	1	0	0	117	108	85	23	16	7	3	0	0	9	3	1	0	0	2	2	0	3	23	23	18	5	2	3	0	0	0	1	1	1	0	0	1	0	0	1	
17	AKF02489.1_anti-influenza_H1N1_hemagglutinin_immu	productive	Homsap IGKV3D-11*02 F, or Homsap IGKV3D-11*03 F	332 (335)	284 (287)	220	64 (67)	55 (58)	9	7	1	0	24 (25)	7	2 (3)	0	6	3	10 (11)	0	4	78	78	55	23	23	0	3	0	0	7	3	0	0	4	1	5	0	0	36	18	15	3	2	1	0	0	0	2	0	0	0	0	0	0	0	1	51	51	43	8	8	0	2	0	0	4	0	0	0	0	0	2	0	0	30	9	5	4	4	0	0	0	0	1	1	0	0	1	0	1	0	0	117	108	85	23	16	7	2	1	0	10	3	1	0	1	1	2	0	2	20 (23)	20 (23)	17	3 (6)	2 (5)	1	0	0	0	0 (1)	0	1 (2)	0	0	1	0 (1)	0	1	
18	AKF02488.1_anti-influenza_H1N1_hemagglutinin_immu	productive	Homsap IGLV1-40*01 F	338 (341)	296 (299)	217	79 (82)	68 (71)	11	5	0	0 (1)	20 (22)	8	2	3	12	10	18	0	1	78	75	56	19	19	0	0	0	0	3	2	0	0	4	5	5	0	0	36	27	20	7	7	0	0	0	0	3	1	0	0	1	1	1	0	0	51	51	41	10	9	1	2	0	0	1	3	0	1	0	0	2	0	1	30	9	5	4	0	4	0	0	0	1	0	0	2	0	1	0	0	0	117	108	75	33	29	4	2	0	0	10	2	2	0	6	2	9	0	0	26 (29)	26 (29)	20	6 (9)	4 (7)	2	1	0	0 (1)	2 (4)	0	0	0	1	1	1	0	0	
19	AKF02487.1_anti-influenza_H1N1_hemagglutinin_immu	productive	Homsap IGLV1-40*01 F	338 (341)	296 (299)	221	75 (78)	67 (70)	8	4	1	0 (1)	20 (22)	8	2	1	12	9	17	0	1	78	75	56	19	19	0	0	0	0	3	2	0	0	4	5	5	0	0	36	27	18	9	5	4	0	1	0	3	1	0	1	1	1	1	0	0	51	51	42	9	9	0	2	0	0	1	3	0	0	0	0	2	0	1	30	9	7	2	0	2	0	0	0	1	0	0	0	0	1	0	0	0	117	108	76	32	30	2	2	0	0	10	2	2	0	6	2	8	0	0	26 (29)	26 (29)	22	4 (7)	4 (7)	0	0	0	0 (1)	2 (4)	0	0	0	1	0	1	0	0	
20	AKF02486.1_anti-influenza_H1N1_hemagglutinin_immu	productive	Homsap IGLV1-40*01 F	338 (341)	296 (299)	218	78 (81)	67 (70)	11	4	0	0 (1)	20 (22)	8	2	2	12	10	19	0	1	78	75	56	19	19	0	0	0	0	3	2	0	0	4	5	5	0	0	36	27	20	7	7	0	0	0	0	3	1	0	0	1	1	1	0	0	51	51	40	11	9	2	2	0	0	1	3	0	1	0	0	3	0	1	30	9	6	3	0	3	0	0	0	1	0	0	1	0	1	0	0	0	117	108	74	34	28	6	2	0	0	10	2	2	0	6	3	9	0	0	26 (29)	26 (29)	22	4 (7)	4 (7)	0	0	0	0 (1)	2 (4)	0	0	0	1	0	1	0	0	
21	AKF02485.1_anti-influenza_H1N1_hemagglutinin_immu	productive	Homsap IGKV3-20*01 F	332 (335)	287 (290)	221	66 (69)	60 (63)	6	6	1	0 (2)	25 (26)	8	0	1	7	4	13	0	1	78	78	55	23	22	1	2	0	0	7	3	0	0	4	2	5	0	0	36	21	18	3	2	1	0	0	0	1	0	0	1	0	0	0	0	1	51	51	42	9	8	1	2	0	0	4	0	0	0	0	0	3	0	0	30	9	5	4	4	0	0	0	0	1	1	0	0	1	0	1	0	0	117	108	87	21	20	1	2	0	0	10	3	0	0	1	2	3	0	0	20 (23)	20 (23)	14	6 (9)	4 (7)	2	0	1	0 (2)	2 (3)	1	0	0	1	0	1	0	0	
22	AKF02484.1_anti-influenza_H1N1_hemagglutinin_immu	productive	Homsap IGHV3-23*04 F	317 (320)	293 (296)	216	77 (80)	56 (59)	21	8 (10)	5 (6)	2	18	8	2	0	8	12	13	0	1	78	75	51	24	21	3	2	2	0	5	2	0	0	4	4	5	0	0	36	24	19	5	3	2	0	1	1	2	1	0	0	0	0	0	0	0	51	51	35	16	11	5	0	1	0	2	3	1	0	1	3	5	0	0	30	24	13	11	3	8	2	1	0	5	1	0	0	0	1	0	0	1	117	114	94	20	17	3	4	0	1	4	1	1	0	3	3	3	0	0	5 (8)	5 (8)	4	1 (4)	1 (4)	0	0 (2)	0 (1)	0	0	0	0	0	0	1	0	0	0	
23	AKF02483.1_anti-influenza_H1N1_hemagglutinin_immu	productive	Homsap IGHV3-23*01 F, or Homsap IGHV3-23*04 F or Homsap IGHV3-23D*01 F	317 (320)	293 (296)	217 (218)	76 (78)	57 (59)	19	7 (8)	3	1	19	9	2	1	9	10 (11)	14	0	1	78	75	53	22	22	0	2	0	0	6	2	0	0	4	3	5	0	0	36	24	18	6	3	3	0	0	1	2	1	0	0	0	1	1	0	0	51	51	35	16	10	6	0	2	0	2	2	1	0	1	3	5	0	0	30	24	15	9	5	4	1	0	0	5	2	0	0	0	0	0	0	1	117	114	92	22	16	6	4	1	0	4	2	1	1	4	2	3	0	0	5 (8)	5 (8)	4 (5)	1 (3)	1 (3)	0	0 (1)	0	0	0	0	0	0	0	1 (2)	0	0	0	
24	AKF02482.1_anti-influenza_H1N1_hemagglutinin_immu	productive	Homsap IGHV3-23*01 F, or Homsap IGHV3-23*04 F or Homsap IGHV3-23D*01 F	317 (320)	293 (296)	215	78 (81)	57 (60)	21	9 (11)	5 (6)	2	19	8	2	0	8	11	13	0	1	78	75	51	24	22	2	2	2	0	6	2	0	0	4	3	5	0	0	36	24	19	5	3	2	0	1	1	2	1	0	0	0	0	0	0	0	51	51	35	16	11	5	0	1	0	2	3	1	0	1	3	5	0	0	30	24	13	11	3	8	2	1	0	5	1	0	0	0	1	0	0	1	117	114	93	21	17	4	5	0	1	4	1	1	0	3	3	3	0	0	5 (8)	5 (8)	4	1 (4)	1 (4)	0	0 (2)	0 (1)	0	0	0	0	0	0	1	0	0	0	
25	AKF02481.1_anti-influenza_H1N1_hemagglutinin_immu	productive	Homsap IGHV1-69*09 F	317 (320)	293 (296)	225 (226)	68 (70)	48 (50)	20	6 (7)	3	2	16	7	1	1	6	12 (13)	12	0	2	78	75	55	20	15	5	0	1	0	6	0	0	0	4	3	6	0	0	36	24	16	8	3	5	0	1	1	3	1	0	0	0	1	1	0	0	51	51	43	8	8	0	2	0	0	1	2	1	0	0	1	0	0	1	30	24	15	9	4	5	1	1	0	2	2	0	0	0	0	2	0	1	117	114	92	22	17	5	3	0	1	4	2	0	1	2	6	3	0	0	5 (8)	5 (8)	4 (5)	1 (3)	1 (3)	0	0 (1)	0	0	0	0	0	0	0	1 (2)	0	0	0	
26	AKF02480.1_anti-influenza_H1N1_hemagglutinin_immu	productive	Homsap IGHV1-69*06 F	317 (320)	293 (296)	224 (225)	69 (71)	50 (52)	19	5 (7)	3	2	15	8	1	0	7	13	14	0	1	78	75	55	20	19	1	0	0	0	5	0	0	0	5	3	7	0	0	36	24	18	6	2	4	0	1	1	2	1	0	0	0	0	1	0	0	51	51	42	9	9	0	2	0	0	1	2	1	0	0	2	0	0	1	30	24	16	8	2	6	0	1	0	3	2	0	0	0	1	1	0	0	117	114	89	25	17	8	3	1	1	4	3	0	0	2	6	5	0	0	5 (8)	5 (8)	4 (5)	1 (3)	1 (3)	0	0 (2)	0	0	0	0	0	0	0	1	0	0	0	
27	AKF02479.1_anti-influenza_H1N1_hemagglutinin_immu	productive	Homsap IGHV1-69*09 F	314 (320)	290 (296)	220 (221)	70 (75)	45 (48)	25 (27)	11	4 (6)	2	14	5 (6)	1	1 (2)	8	9 (10)	12	1	2	78	75	55	20	18	2	0	1	0	5	0	0	0	5	3	6	0	0	36	24	16	8	1	7	0	1	0	2	1	0	1	0	0	2	1	0	51	51	41	10	8	2	3	0	0	1	2	1	0	0	1	1	0	1	30	24	18	6	3	3	1	1	0	2	1	0	0	0	0	0	0	1	117	114	88	26	15	11	7	1	2	4	1	0	0	3	5	3	0	0	2 (8)	2 (8)	2 (3)	0 (5)	0 (3)	0 (2)	0	0 (2)	0	0	0 (1)	0	0 (1)	0	0 (1)	0	0	0	
28	AKF02478.1_anti-influenza_H1N1_hemagglutinin_immu	productive	Homsap IGHV1-69*01 F, or Homsap IGHV1-69D*01 F	317 (320)	293 (296)	215 (216)	78 (80)	50 (52)	28	8 (10)	5	3	14	8	1	0	7	13	17	0	2	78	75	53	22	18	4	1	0	0	5	0	0	0	5	4	7	0	0	36	24	17	7	3	4	0	2	1	2	1	0	0	0	0	1	0	0	51	51	39	12	9	3	3	0	0	1	2	1	0	0	3	1	0	1	30	24	14	10	2	8	1	2	0	2	2	0	0	0	0	2	0	1	117	114	88	26	17	9	3	1	2	4	3	0	0	2	5	6	0	0	5 (8)	5 (8)	4 (5)	1 (3)	1 (3)	0	0 (2)	0	0	0	0	0	0	0	1	0	0	0	
