Sequence number	Sequence ID	V-DOMAIN Functionality	V-GENE and allele	V-REGION Nb of positions including IMGT gaps (nt)	V-REGION Nb of nucleotides	V-REGION Nb of identical nucleotides	V-REGION Nb of mutations	V-REGION Nb of silent mutations	V-REGION Nb of nonsilent mutations	V-REGION a>g	V-REGION g>a	V-REGION c>t	V-REGION t>c	V-REGION a>c	V-REGION c>a	V-REGION a>t	V-REGION t>a	V-REGION g>c	V-REGION c>g	V-REGION g>t	V-REGION t>g	FR1-IMGT Nb of positions including IMGT gaps (nt)	FR1-IMGT Nb of nucleotides	FR1-IMGT Nb of identical nucleotides	FR1-IMGT Nb of mutations	FR1-IMGT Nb of silent mutations	FR1-IMGT Nb of nonsilent mutations	FR1-IMGT a>g	FR1-IMGT g>a	FR1-IMGT c>t	FR1-IMGT t>c	FR1-IMGT a>c	FR1-IMGT c>a	FR1-IMGT a>t	FR1-IMGT t>a	FR1-IMGT g>c	FR1-IMGT c>g	FR1-IMGT g>t	FR1-IMGT t>g	CDR1-IMGT Nb of positions including IMGT gaps (nt)	CDR1-IMGT Nb of nucleotides	CDR1-IMGT Nb of identical nucleotides	CDR1-IMGT Nb of mutations	CDR1-IMGT Nb of silent mutations	CDR1-IMGT Nb of nonsilent mutations	CDR1-IMGT a>g	CDR1-IMGT g>a	CDR1-IMGT c>t	CDR1-IMGT t>c	CDR1-IMGT a>c	CDR1-IMGT c>a	CDR1-IMGT a>t	CDR1-IMGT t>a	CDR1-IMGT g>c	CDR1-IMGT c>g	CDR1-IMGT g>t	CDR1-IMGT t>g	FR2-IMGT Nb of positions including IMGT gaps (nt)	FR2-IMGT Nb of nucleotides	FR2-IMGT Nb of identical nucleotides	FR2-IMGT Nb of mutations	FR2-IMGT Nb of silent mutations	FR2-IMGT Nb of nonsilent mutations	FR2-IMGT a>g	FR2-IMGT g>a	FR2-IMGT c>t	FR2-IMGT t>c	FR2-IMGT a>c	FR2-IMGT c>a	FR2-IMGT a>t	FR2-IMGT t>a	FR2-IMGT g>c	FR2-IMGT c>g	FR2-IMGT g>t	FR2-IMGT t>g	CDR2-IMGT Nb of positions including IMGT gaps (nt)	CDR2-IMGT Nb of nucleotides	CDR2-IMGT Nb of identical nucleotides	CDR2-IMGT Nb of mutations	CDR2-IMGT Nb of silent mutations	CDR2-IMGT Nb of nonsilent mutations	CDR2-IMGT a>g	CDR2-IMGT g>a	CDR2-IMGT c>t	CDR2-IMGT t>c	CDR2-IMGT a>c	CDR2-IMGT c>a	CDR2-IMGT a>t	CDR2-IMGT t>a	CDR2-IMGT g>c	CDR2-IMGT c>g	CDR2-IMGT g>t	CDR2-IMGT t>g	FR3-IMGT Nb of positions including IMGT gaps (nt)	FR3-IMGT Nb of nucleotides	FR3-IMGT Nb of identical nucleotides	FR3-IMGT Nb of mutations	FR3-IMGT Nb of silent mutations	FR3-IMGT Nb of nonsilent mutations	FR3-IMGT a>g	FR3-IMGT g>a	FR3-IMGT c>t	FR3-IMGT t>c	FR3-IMGT a>c	FR3-IMGT c>a	FR3-IMGT a>t	FR3-IMGT t>a	FR3-IMGT g>c	FR3-IMGT c>g	FR3-IMGT g>t	FR3-IMGT t>g	CDR3-IMGT Nb of positions including IMGT gaps (nt)	CDR3-IMGT Nb of nucleotides	CDR3-IMGT Nb of identical nucleotides	CDR3-IMGT Nb of mutations	CDR3-IMGT Nb of silent mutations	CDR3-IMGT Nb of nonsilent mutations	CDR3-IMGT a>g	CDR3-IMGT g>a	CDR3-IMGT c>t	CDR3-IMGT t>c	CDR3-IMGT a>c	CDR3-IMGT c>a	CDR3-IMGT a>t	CDR3-IMGT t>a	CDR3-IMGT g>c	CDR3-IMGT c>g	CDR3-IMGT g>t	CDR3-IMGT t>g	
14	QPO15979.1_immunoglobulin_heavy_chain_variable_re	productive	Homsap IGHV3-53*02 F	320	293	223	70	52	18	7	1	0	18	8	2	1	6	9	15	1	2	78	75	54	21	17	4	1	1	0	5	3	0	0	3	2	6	0	0	36	24	18	6	3	3	0	0	0	3	0	0	0	0	1	2	0	0	51	51	39	12	8	4	0	0	0	2	2	1	0	0	2	3	1	1	30	21	14	7	5	2	1	0	0	4	1	0	0	0	1	0	0	0	117	114	92	22	17	5	4	0	0	4	2	1	1	3	2	4	0	1	8	8	6	2	2	0	1	0	0	0	0	0	0	0	1	0	0	0	
15	QPO15978.1_immunoglobulin_heavy_chain_variable_re	productive	Homsap IGHV3-21*04 F	320	296	231	65	60	5	7	0	0	15	9	2	0	9	8	14	0	1	78	75	55	20	20	0	1	0	0	4	2	0	0	4	3	6	0	0	36	24	21	3	3	0	0	0	0	2	1	0	0	0	0	0	0	0	51	51	38	13	13	0	0	0	0	1	2	1	0	2	2	5	0	0	30	24	15	9	4	5	1	0	0	5	1	0	0	0	1	0	0	1	117	114	96	18	18	0	4	0	0	3	3	1	0	3	1	3	0	0	8	8	6	2	2	0	1	0	0	0	0	0	0	0	1	0	0	0	
16	QPO15977.1_immunoglobulin_heavy_chain_variable_re	productive	Homsap IGHV4-31*08 F	311	290	210	80	50	30	10	2	1	14	6	3	1	12	13	16	1	1	78	75	57	18	16	2	1	0	0	3	3	0	0	4	1	6	0	0	36	30	18	12	4	8	2	2	0	4	0	0	0	1	1	2	0	0	51	51	39	12	6	6	1	0	0	1	2	1	0	1	4	1	1	0	30	21	15	6	2	4	1	0	0	2	0	0	0	1	2	0	0	0	116	113	81	32	22	10	5	0	1	4	1	2	1	5	5	7	0	1																			
17	QPO15976.1_immunoglobulin_heavy_chain_variable_re	productive	Homsap IGHV5-51*01 F	317 (320)	293 (296)	236 (237)	57 (59)	45 (47)	12	4 (5)	2	2	14	6	1	1 (2)	9	7	11	0	0	78	75	58	17	17	0	1	0	0	5	2	0	0	4	1	4	0	0	36	24	22	2	2	0	0	0	0	1	1	0	0	0	0	0	0	0	51	51	44	7	5	2	1	0	0	1	0	1	0	0	3	1	0	0	30	24	16	8	6	2	0	1	0	5	0	0	0	1	0	1	0	0	117	114	92	22	15	7	2	1	1	2	3	0	1	4	3	5	0	0	5 (8)	5 (8)	4 (5)	1 (3)	0 (2)	1	0 (1)	0	1	0	0	0	0 (1)	0	0	0	0	0	
18	QPO15975.1_immunoglobulin_heavy_chain_variable_re	productive	Homsap IGHV1-69*18 (F)	317 (319)	293 (295)	217 (218)	76 (77)	42 (43)	34	7 (8)	7	3	18	9	1	0	7	12	11	0	1	78	75	54	21	17	4	0	2	1	5	0	0	0	5	3	5	0	0	36	24	18	6	2	4	0	1	1	2	1	0	0	1	0	0	0	0	51	51	40	11	7	4	4	2	0	1	1	1	0	0	1	0	0	1	30	24	14	10	3	7	1	0	0	4	2	0	0	0	1	2	0	0	117	114	87	27	12	15	2	2	1	6	5	0	0	1	6	4	0	0	5 (7)	5 (7)	4 (5)	1 (2)	1 (2)	0	0 (1)	0	0	0	0	0	0	0	1	0	0	0	
19	QPO15974.1_immunoglobulin_heavy_chain_variable_re	productive	Homsap IGHV3-53*02 F	320	293	217	76	48	28	10	5	0	14	7	2	0	9	10	13	1	5	78	75	54	21	17	4	2	0	0	5	3	0	0	3	2	6	0	0	36	24	19	5	2	3	1	1	0	1	0	0	0	1	0	1	0	0	51	51	37	14	8	6	0	1	0	1	2	1	0	1	3	3	0	2	30	21	11	10	2	8	2	1	0	3	1	0	0	1	0	0	1	1	117	114	90	24	17	7	4	2	0	4	1	1	0	3	4	3	0	2	8	8	6	2	2	0	1	0	0	0	0	0	0	0	1	0	0	0	
20	QPO15973.1_immunoglobulin_heavy_chain_variable_re	productive	Homsap IGHV3-9*01 F, or Homsap IGHV3-9*03 F	320 (322)	296 (298)	220 (221)	76 (77)	59 (60)	17	10	2	2	24 (25)	6	3	0	7	5	16	0	1	78	75	52	23	19	4	4	0	2	5	1	0	0	4	1	6	0	0	36	24	17	7	5	2	0	0	0	4	1	1	0	0	0	1	0	0	51	51	40	11	11	0	1	0	0	2	2	1	0	1	1	3	0	0	30	24	16	8	6	2	0	1	0	5	1	0	0	0	0	1	0	0	117	114	89	25	16	9	4	1	0	8	0	1	0	2	3	5	0	1	8 (10)	8 (10)	6 (7)	2 (3)	2 (3)	0	1	0	0	0 (1)	1	0	0	0	0	0	0	0	
21	QPO15972.1_immunoglobulin_heavy_chain_variable_re	productive	Homsap IGHV1-8*02 F	320	296	222	74	41	33	14	3	0	16	9	3	1	8	8	10	1	1	78	75	57	18	16	2	0	1	0	5	1	0	0	4	2	5	0	0	36	24	19	5	3	2	0	0	0	2	1	0	0	0	0	2	0	0	51	51	41	10	7	3	2	0	0	1	3	1	0	1	1	0	0	1	30	24	14	10	2	8	3	1	0	3	1	0	0	0	0	1	1	0	117	114	85	29	11	18	8	1	0	5	3	2	1	3	4	2	0	0	8	8	6	2	2	0	1	0	0	0	0	0	0	0	1	0	0	0	
22	QPO15971.1_immunoglobulin_heavy_chain_variable_re	productive	Homsap IGHV4-31*08 F	311	290	226	64	53	11	3	1	2	16	5	3	0	10	9	15	0	0	78	75	58	17	17	0	0	0	0	3	3	0	0	4	1	6	0	0	36	30	24	6	6	0	0	0	0	4	0	0	0	1	0	1	0	0	51	51	44	7	6	1	0	0	1	1	1	1	0	0	2	1	0	0	30	21	17	4	3	1	0	0	0	2	0	0	0	0	1	1	0	0	116	113	83	30	21	9	3	1	1	6	1	2	0	5	5	6	0	0																			
23	QPO15970.1_immunoglobulin_heavy_chain_variable_re	productive	Homsap IGHV3-7*03 F	317 (320)	293 (296)	222 (223)	71 (73)	49 (51)	22	7 (8)	3 (4)	1	17	9	2	2	7	10	13	0	0	78	75	52	23	19	4	1	1	0	5	2	1	0	4	2	7	0	0	36	24	19	5	3	2	0	0	0	3	1	0	1	0	0	0	0	0	51	51	44	7	7	0	0	0	0	1	1	1	0	0	2	2	0	0	30	24	14	10	4	6	3	1	0	2	2	0	0	0	2	0	0	0	117	114	89	25	15	10	3	1	1	6	3	0	1	3	3	4	0	0	5 (8)	5 (8)	4 (5)	1 (3)	1 (3)	0	0 (1)	0 (1)	0	0	0	0	0	0	1	0	0	0	
24	QPO15969.1_immunoglobulin_heavy_chain_variable_re	productive	Homsap IGHV3-33*08 F	317 (320)	290 (293)	208	82 (85)	47 (50)	35	12 (14)	7 (8)	0	19	9	2	3	7	8	12	1	2	78	72	52	20	19	1	1	1	0	4	2	0	0	4	2	6	0	0	36	24	19	5	2	3	0	1	0	3	1	0	0	0	0	0	0	0	51	51	41	10	8	2	1	0	0	1	3	1	0	0	1	2	0	1	30	24	10	14	3	11	4	1	0	5	1	0	1	1	1	0	0	0	117	114	82	32	14	18	6	4	0	6	2	1	2	2	3	4	1	1	5 (8)	5 (8)	4	1 (4)	1 (4)	0	0 (2)	0 (1)	0	0	0	0	0	0	1	0	0	0	
25	QPO15968.1_immunoglobulin_heavy_chain_variable_re	productive	Homsap IGHV3-21*04 F	317 (320)	293 (296)	218 (219)	75 (77)	57 (59)	18	8 (9)	0	0	16	10	2	1 (2)	11	12	15	0	0	78	75	53	22	20	2	2	0	0	4	2	0	0	4	4	6	0	0	36	24	20	4	3	1	0	0	0	2	1	0	0	0	1	0	0	0	51	51	37	14	13	1	0	0	0	1	2	1	0	2	3	5	0	0	30	24	12	12	4	8	2	0	0	6	1	0	0	1	2	0	0	0	117	114	92	22	16	6	4	0	0	3	4	1	1	4	1	4	0	0	5 (8)	5 (8)	4 (5)	1 (3)	1 (3)	0	0 (1)	0	0	0	0	0	0 (1)	0	1	0	0	0	
26	QPO15967.1_immunoglobulin_heavy_chain_variable_re	productive	Homsap IGHV1-2*02 F, or Homsap IGHV1-3*01 F or Homsap IGHV1-3*03 F	317 (320)	293 (296)	220	73 (76)	38 (41)	35	7 (8)	8	1	16	7 (8)	1	1	6	9 (10)	13	1	3	78	75	57	18	15	3	0	2	0	5	1	0	0	4	2	4	0	0	36	24	18	6	1	5	1	1	0	1	1	0	0	0	0	0	1	1	51	51	41	10	7	3	2	1	0	1	2	1	0	0	2	0	0	1	30	24	14	10	1	9	1	2	1	3	1	0	0	0	0	2	0	0	117	114	86	28	13	15	3	2	0	6	2	0	1	2	4	7	0	1	5 (8)	5 (8)	4	1 (4)	1 (4)	0	0 (1)	0	0	0	0 (1)	0	0	0	1 (2)	0	0	0	
27	QPO15966.1_immunoglobulin_heavy_chain_variable_re	productive	Homsap IGHV3-9*03 F	320 (322)	296 (298)	219 (220)	77 (78)	60 (61)	17	13	3	0	24 (25)	7	3	0	9	4	14	0	0	78	75	55	20	20	0	3	0	0	5	2	0	0	4	1	5	0	0	36	24	17	7	5	2	0	0	0	4	2	1	0	0	0	0	0	0	51	51	39	12	10	2	1	1	0	2	2	1	0	1	1	3	0	0	30	24	14	10	4	6	2	1	0	5	0	0	0	1	0	1	0	0	117	114	89	25	20	5	6	0	0	8	0	1	0	3	2	5	0	0	8 (10)	8 (10)	5 (6)	3 (4)	1 (2)	2	1	1	0	0 (1)	1	0	0	0	0	0	0	0	
28	QPO15965.1_immunoglobulin_heavy_chain_variable_re	productive	Homsap IGHV3-9*01 F	320 (322)	296 (298)	220 (221)	76 (77)	63	13 (14)	12	2	1	24	8	3	0	9	4	13	0	0 (1)	78	75	55	20	20	0	3	0	0	5	2	0	0	4	1	5	0	0	36	24	17	7	5	2	0	0	0	4	2	1	0	0	0	0	0	0	51	51	39	12	11	1	2	0	0	2	2	1	0	1	1	3	0	0	30	24	16	8	6	2	0	0	0	5	1	0	0	1	0	1	0	0	117	114	89	25	20	5	6	1	0	8	0	1	0	3	2	4	0	0	8 (10)	8 (10)	4 (5)	4 (5)	1	3 (4)	1	1	1	0	1	0	0	0	0	0	0	0 (1)	
29	QPO15964.1_immunoglobulin_heavy_chain_variable_re	productive	Homsap IGHV1-2*02 F	320	296	233	63	47	16	7	1	0	17	10	1	0	6	11	9	0	1	78	75	56	19	17	2	1	0	0	5	1	0	0	4	3	5	0	0	36	24	21	3	2	1	0	0	0	2	1	0	0	0	0	0	0	0	51	51	42	9	8	1	2	0	0	1	3	1	0	0	1	0	0	1	30	24	17	7	4	3	0	1	0	3	2	0	0	0	0	1	0	0	117	114	91	23	14	9	3	0	0	6	3	0	0	2	6	3	0	0	8	8	6	2	2	0	1	0	0	0	0	0	0	0	1	0	0	0	
30	QPO15963.1_immunoglobulin_heavy_chain_variable_re	productive	Homsap IGHV3-21*04 F	317 (320)	293 (296)	220 (221)	73 (75)	58 (60)	15	8 (9)	0	0	16	9	2	0 (1)	11	12	15	0	0	78	75	54	21	20	1	2	0	0	4	2	0	0	4	3	6	0	0	36	24	20	4	3	1	0	0	0	2	1	0	0	0	1	0	0	0	51	51	38	13	13	0	0	0	0	1	2	1	0	2	2	5	0	0	30	24	13	11	4	7	2	0	0	6	0	0	0	1	2	0	0	0	117	114	91	23	17	6	4	0	0	3	4	1	0	4	3	4	0	0	5 (8)	5 (8)	4 (5)	1 (3)	1 (3)	0	0 (1)	0	0	0	0	0	0 (1)	0	1	0	0	0	
