Sequence number	Sequence ID	V-DOMAIN Functionality	V-GENE and allele	V-REGION Nb of positions including IMGT gaps (nt)	V-REGION Nb of nucleotides	V-REGION Nb of identical nucleotides	V-REGION Nb of mutations	V-REGION Nb of silent mutations	V-REGION Nb of nonsilent mutations	V-REGION a>g	V-REGION g>a	V-REGION c>t	V-REGION t>c	V-REGION a>c	V-REGION c>a	V-REGION a>t	V-REGION t>a	V-REGION g>c	V-REGION c>g	V-REGION g>t	V-REGION t>g	FR1-IMGT Nb of positions including IMGT gaps (nt)	FR1-IMGT Nb of nucleotides	FR1-IMGT Nb of identical nucleotides	FR1-IMGT Nb of mutations	FR1-IMGT Nb of silent mutations	FR1-IMGT Nb of nonsilent mutations	FR1-IMGT a>g	FR1-IMGT g>a	FR1-IMGT c>t	FR1-IMGT t>c	FR1-IMGT a>c	FR1-IMGT c>a	FR1-IMGT a>t	FR1-IMGT t>a	FR1-IMGT g>c	FR1-IMGT c>g	FR1-IMGT g>t	FR1-IMGT t>g	CDR1-IMGT Nb of positions including IMGT gaps (nt)	CDR1-IMGT Nb of nucleotides	CDR1-IMGT Nb of identical nucleotides	CDR1-IMGT Nb of mutations	CDR1-IMGT Nb of silent mutations	CDR1-IMGT Nb of nonsilent mutations	CDR1-IMGT a>g	CDR1-IMGT g>a	CDR1-IMGT c>t	CDR1-IMGT t>c	CDR1-IMGT a>c	CDR1-IMGT c>a	CDR1-IMGT a>t	CDR1-IMGT t>a	CDR1-IMGT g>c	CDR1-IMGT c>g	CDR1-IMGT g>t	CDR1-IMGT t>g	FR2-IMGT Nb of positions including IMGT gaps (nt)	FR2-IMGT Nb of nucleotides	FR2-IMGT Nb of identical nucleotides	FR2-IMGT Nb of mutations	FR2-IMGT Nb of silent mutations	FR2-IMGT Nb of nonsilent mutations	FR2-IMGT a>g	FR2-IMGT g>a	FR2-IMGT c>t	FR2-IMGT t>c	FR2-IMGT a>c	FR2-IMGT c>a	FR2-IMGT a>t	FR2-IMGT t>a	FR2-IMGT g>c	FR2-IMGT c>g	FR2-IMGT g>t	FR2-IMGT t>g	CDR2-IMGT Nb of positions including IMGT gaps (nt)	CDR2-IMGT Nb of nucleotides	CDR2-IMGT Nb of identical nucleotides	CDR2-IMGT Nb of mutations	CDR2-IMGT Nb of silent mutations	CDR2-IMGT Nb of nonsilent mutations	CDR2-IMGT a>g	CDR2-IMGT g>a	CDR2-IMGT c>t	CDR2-IMGT t>c	CDR2-IMGT a>c	CDR2-IMGT c>a	CDR2-IMGT a>t	CDR2-IMGT t>a	CDR2-IMGT g>c	CDR2-IMGT c>g	CDR2-IMGT g>t	CDR2-IMGT t>g	FR3-IMGT Nb of positions including IMGT gaps (nt)	FR3-IMGT Nb of nucleotides	FR3-IMGT Nb of identical nucleotides	FR3-IMGT Nb of mutations	FR3-IMGT Nb of silent mutations	FR3-IMGT Nb of nonsilent mutations	FR3-IMGT a>g	FR3-IMGT g>a	FR3-IMGT c>t	FR3-IMGT t>c	FR3-IMGT a>c	FR3-IMGT c>a	FR3-IMGT a>t	FR3-IMGT t>a	FR3-IMGT g>c	FR3-IMGT c>g	FR3-IMGT g>t	FR3-IMGT t>g	CDR3-IMGT Nb of positions including IMGT gaps (nt)	CDR3-IMGT Nb of nucleotides	CDR3-IMGT Nb of identical nucleotides	CDR3-IMGT Nb of mutations	CDR3-IMGT Nb of silent mutations	CDR3-IMGT Nb of nonsilent mutations	CDR3-IMGT a>g	CDR3-IMGT g>a	CDR3-IMGT c>t	CDR3-IMGT t>c	CDR3-IMGT a>c	CDR3-IMGT c>a	CDR3-IMGT a>t	CDR3-IMGT t>a	CDR3-IMGT g>c	CDR3-IMGT c>g	CDR3-IMGT g>t	CDR3-IMGT t>g	
13	AIU95746.1_immunoglobulin_kappa_light_chain_varia	No rearrangement found	Homsap IGKV3D-11*02 F	331	283	219	64	54	10	8	0	1	23	7	2	0	4	4	11	0	4	78	78	55	23	23	0	3	0	0	7	3	0	0	4	1	5	0	0	36	18	14	4	1	3	0	0	0	1	0	0	0	0	1	1	0	1	51	51	43	8	8	0	2	0	0	4	0	0	0	0	0	2	0	0	30	9	4	5	2	3	0	0	1	1	1	0	0	0	0	1	0	1	117	108	87	21	18	3	2	0	0	10	3	1	0	0	2	2	0	1	19	19	16	3	2	1	1	0	0	0	0	1	0	0	0	0	0	1	
14	AIU95745.1_immunoglobulin_kappa_light_chain_varia	rearranged sequence (but no junction found)	Homsap IGKV2D-29*01 F, or Homsap IGKV2D-29*02 F	332 (335)	299 (302)	223	76 (79)	59 (62)	17	5	2	0 (2)	25 (26)	12	3	0	8	4	14	0	3	78	78	55	23	21	2	0	0	0	7	2	0	0	5	1	8	0	0	36	33	25	8	6	2	2	0	0	4	1	0	0	0	0	1	0	0	51	51	42	9	5	4	0	0	0	3	2	1	0	0	0	2	0	1	30	9	4	5	2	3	0	1	0	1	1	0	0	1	0	1	0	0	117	108	81	27	21	6	2	1	0	9	5	2	0	2	3	2	0	1	20 (23)	20 (23)	16	4 (7)	4 (7)	0	1	0	0 (2)	1 (2)	1	0	0	0	0	0	0	1	
15	AIU95744.1_immunoglobulin_kappa_light_chain_varia	rearranged sequence (but no junction found)	Homsap IGKV2D-29*01 F, or Homsap IGKV2D-29*02 F	332 (335)	299 (302)	219	80 (83)	61 (64)	19	7	1	0 (2)	24 (25)	12	4	0	8	7	14	0	3	78	78	54	24	21	3	0	0	0	7	3	0	0	5	2	7	0	0	36	33	24	9	6	3	2	0	0	4	1	0	0	0	0	2	0	0	51	51	42	9	6	3	0	0	0	4	2	1	0	0	0	2	0	0	30	9	4	5	2	3	0	1	0	1	1	0	0	1	0	1	0	0	117	108	81	27	23	4	2	0	0	7	5	2	0	2	5	2	0	2	20 (23)	20 (23)	14	6 (9)	3 (6)	3	3	0	0 (2)	1 (2)	0	1	0	0	0	0	0	1	
16	AIU95743.1_immunoglobulin_kappa_light_chain_varia	rearranged sequence (but no junction found)	Homsap IGKV2D-29*01 F, or Homsap IGKV2D-29*02 F	332 (335)	299 (302)	222	77 (80)	61 (64)	16	5	2	0 (2)	23 (24)	13	3	1	8	3	15	0	4	78	78	55	23	21	2	1	0	0	6	2	0	0	5	1	7	0	1	36	33	25	8	6	2	2	0	0	4	1	0	0	0	0	1	0	0	51	51	42	9	6	3	0	0	0	4	2	1	0	0	0	2	0	0	30	9	4	5	2	3	0	1	0	1	1	0	0	1	0	1	0	0	117	108	81	27	23	4	1	1	0	7	6	2	1	2	2	3	0	2	20 (23)	20 (23)	15	5 (8)	3 (6)	2	1	0	0 (2)	1 (2)	1	0	0	0	0	1	0	1	
17	AIU95742.1_immunoglobulin_kappa_light_chain_varia	rearranged sequence (but no junction found)	Homsap IGKV2D-29*01 F, or Homsap IGKV2D-29*02 F	332 (335)	299 (302)	218	81 (84)	61 (64)	20	7	2	0 (2)	25 (26)	12	4	0	8	7	14	0	2	78	78	54	24	21	3	0	0	0	7	3	0	0	5	2	7	0	0	36	33	24	9	6	3	2	0	0	4	1	0	0	0	0	2	0	0	51	51	41	10	6	4	0	0	0	4	2	1	0	0	1	2	0	0	30	9	4	5	2	3	0	1	0	1	1	0	0	1	0	1	0	0	117	108	81	27	23	4	2	1	0	8	5	2	0	2	4	2	0	1	20 (23)	20 (23)	14	6 (9)	3 (6)	3	3	0	0 (2)	1 (2)	0	1	0	0	0	0	0	1	
18	AIU95741.1_immunoglobulin_kappa_light_chain_varia	rearranged sequence (but no junction found)	Homsap IGKV2-30*02 [F]	332 (335)	299 (302)	219	80 (83)	69 (72)	11	10	1	0 (1)	23 (24)	10	2 (3)	0	9	5	16	0	4	78	78	56	22	22	0	0	0	0	5	2	0	0	5	1	7	0	2	36	33	24	9	4	5	4	0	0	2	1	0	0	0	0	2	0	0	51	51	36	15	14	1	2	0	0	6	2	1	0	1	1	2	0	0	30	9	4	5	4	1	0	0	0	1	1	0	0	1	0	1	0	1	117	108	83	25	22	3	3	1	0	8	3	1	0	2	3	3	0	1	20 (23)	20 (23)	16	4 (7)	3 (6)	1	1	0	0 (1)	1 (2)	1	0 (1)	0	0	0	1	0	0	
19	AIU95740.1_immunoglobulin_kappa_light_chain_varia	rearranged sequence (but no junction found)	Homsap IGKV3D-15*01 F	335	287	209	78	44	34	10	2	0	23	9	4	1	5	10	11	0	3	78	78	55	23	20	3	3	0	0	4	4	0	0	4	3	5	0	0	36	18	8	10	0	10	3	2	0	1	0	1	0	0	2	0	0	1	51	51	41	10	7	3	3	0	0	4	0	0	0	0	1	2	0	0	30	9	4	5	3	2	0	0	0	1	1	0	0	1	1	1	0	0	117	108	82	26	12	14	1	0	0	10	4	3	0	0	3	3	0	2	23	23	19	4	2	2	0	0	0	3	0	0	1	0	0	0	0	0	
20	AIU95739.1_immunoglobulin_kappa_light_chain_varia	rearranged sequence (but no junction found)	Homsap IGKV3D-15*01 F	331 (335)	283 (287)	217	66 (70)	57 (59)	9 (11)	6	2	0 (2)	22	8	0 (1)	0	7	6	13	0	2 (3)	78	78	56	22	21	1	3	0	0	4	3	0	0	4	3	5	0	0	36	18	14	4	2	2	0	2	0	1	0	0	0	0	0	0	0	1	51	51	42	9	7	2	2	0	0	4	0	0	0	0	0	3	0	0	30	9	5	4	4	0	0	0	0	1	1	0	0	1	0	1	0	0	117	108	84	24	21	3	1	0	0	10	4	0	0	2	2	4	0	1	19 (23)	19 (23)	16	3 (7)	2 (4)	1 (3)	0	0	0 (2)	2	0	0 (1)	0	0	1	0	0	0 (1)	
21	AIU95738.1_immunoglobulin_kappa_light_chain_varia	No rearrangement found	Homsap IGKV1-12*01 F, or Homsap IGKV1-12*02 F or Homsap IGKV1D-12*02 F	332	284	207	77	68	9	8	1	0	28	11	1	0	8	4	14	1	1	78	78	53	25	25	0	2	0	0	7	3	1	0	5	1	6	0	0	36	18	14	4	1	3	0	1	0	1	0	0	0	0	0	0	1	1	51	51	40	11	9	2	3	0	0	4	2	0	0	0	1	1	0	0	30	9	4	5	3	2	0	0	0	1	1	0	0	1	0	2	0	0	117	108	79	29	27	2	2	0	0	13	5	0	0	2	2	5	0	0	20	20	17	3	3	0	1	0	0	2	0	0	0	0	0	0	0	0	
22	AIU95737.1_immunoglobulin_kappa_light_chain_varia	No rearrangement found	Homsap IGKV1-5*01 F	326	254	179	75	52	23	9	1	0	25	10	3	0	6	9	10	0	2	78	54	38	16	14	2	2	0	0	4	2	1	0	2	0	4	0	1	36	18	10	8	3	5	1	1	0	3	0	1	0	0	2	0	0	0	51	51	39	12	9	3	2	0	0	4	1	1	0	0	3	1	0	0	30	9	6	3	3	0	0	0	0	1	0	0	0	1	0	1	0	0	117	108	78	30	22	8	1	0	0	11	7	0	0	2	4	4	0	1	14	14	8	6	1	5	3	0	0	2	0	0	0	1	0	0	0	0	
23	AIU95736.1_immunoglobulin_kappa_light_chain_varia	rearranged sequence (but no junction found)	Homsap IGKV2D-29*01 F, or Homsap IGKV2D-29*02 F	332 (335)	299 (302)	224	75 (78)	63 (66)	12	3	1	0 (2)	23 (24)	13	3	1	8	5	14	0	4	78	78	56	22	22	0	0	0	0	7	2	0	0	5	1	7	0	0	36	33	26	7	5	2	1	0	0	3	1	0	0	0	0	1	0	1	51	51	41	10	6	4	0	0	0	4	2	1	0	0	1	2	0	0	30	9	4	5	2	3	0	1	0	1	1	0	0	1	0	1	0	0	117	108	81	27	24	3	1	0	0	7	6	2	1	2	3	3	0	2	20 (23)	20 (23)	16	4 (7)	4 (7)	0	1	0	0 (2)	1 (2)	1	0	0	0	0	0	0	1	
24	AIU95735.1_immunoglobulin_kappa_light_chain_varia	rearranged sequence (but no junction found)	Homsap IGKV1-5*01 F	329 (335)	281 (287)	214	67 (73)	61 (67)	6	7	0	1 (2)	29 (31)	8	1 (2)	0	7 (8)	3	10 (11)	0	1	78	78	59	19	17	2	2	0	1	6	2	1	0	3	0	4	0	0	36	18	14	4	3	1	0	0	0	3	0	0	0	1	0	0	0	0	51	51	41	10	8	2	2	0	0	5	1	0	0	0	1	1	0	0	30	9	6	3	2	1	0	0	0	0	0	0	0	1	0	1	0	1	117	108	81	27	27	0	2	0	0	12	5	0	0	2	2	4	0	0	17 (23)	17 (23)	13	4 (10)	4 (10)	0	1	0	0 (1)	3 (5)	0	0 (1)	0	0 (1)	0	0 (1)	0	0	
25	AIU95734.1_immunoglobulin_kappa_light_chain_varia	rearranged sequence (but no junction found)	Homsap IGKV1-33*01 F, or Homsap IGKV1D-33*01 F	332 (335)	284 (287)	195 (196)	89 (91)	64 (66)	25	11	2	0	28 (29)	13	2 (3)	4	9	6	14	0	0	78	78	56	22	22	0	2	0	0	5	3	0	0	5	1	6	0	0	36	18	15	3	1	2	0	0	0	2	0	0	0	1	0	0	0	0	51	51	36	15	8	7	5	0	0	4	1	1	1	0	2	1	0	0	30	9	5	4	4	0	0	0	0	1	1	0	0	1	0	1	0	0	117	108	69	39	25	14	3	2	0	13	8	1	3	2	3	4	0	0	20 (23)	20 (23)	14 (15)	6 (8)	4 (6)	2	1	0	0	3 (4)	0	0 (1)	0	0	0	2	0	0	
26	AIU95733.1_immunoglobulin_kappa_light_chain_varia	rearranged sequence (but no junction found)	Homsap IGKV1-33*01 F, or Homsap IGKV1D-33*01 F	332 (335)	284 (287)	195 (196)	89 (91)	68 (70)	21	9	2	0 (1)	29 (30)	17	2	3	8	4	15	0	0	78	78	51	27	20	7	2	2	0	5	4	1	1	5	1	6	0	0	36	18	12	6	2	4	1	0	0	2	0	1	1	0	0	1	0	0	51	51	37	14	9	5	2	0	0	5	3	0	1	0	1	2	0	0	30	9	5	4	4	0	0	0	0	1	1	0	0	1	0	1	0	0	117	108	76	32	29	3	2	0	0	13	9	0	0	2	2	4	0	0	20 (23)	20 (23)	14 (15)	6 (8)	4 (6)	2	2	0	0 (1)	3 (4)	0	0	0	0	0	1	0	0	
27	AIU95732.1_immunoglobulin_kappa_light_chain_varia	rearranged sequence (but no junction found)	Homsap IGKV3D-15*01 F	335	287	218	69	56	13	8	3	0	23	7	0	0	7	5	14	0	2	78	78	55	23	20	3	3	0	0	4	3	0	0	4	3	6	0	0	36	18	15	3	2	1	0	1	0	1	0	0	0	0	0	0	0	1	51	51	43	8	8	0	2	0	0	4	0	0	0	0	0	2	0	0	30	9	3	6	3	3	0	1	0	1	1	0	0	1	0	2	0	0	117	108	84	24	21	3	2	1	0	10	3	0	0	2	2	3	0	1	23	23	18	5	2	3	1	0	0	3	0	0	0	0	0	1	0	0	
28	AIU95731.1_immunoglobulin_kappa_light_chain_varia	rearranged sequence (but no junction found)	Homsap IGKV1-33*01 F, or Homsap IGKV1D-33*01 F	329 (335)	281 (287)	205 (206)	76 (81)	71 (74)	5 (7)	9	0	0	28 (29)	13	1 (3)	1	8	4	12 (14)	0	0	78	78	54	24	22	2	3	0	0	5	3	1	0	5	1	6	0	0	36	18	16	2	2	0	0	0	0	2	0	0	0	0	0	0	0	0	51	51	41	10	10	0	3	0	0	4	1	0	0	0	1	1	0	0	30	9	5	4	4	0	0	0	0	1	1	0	0	1	0	1	0	0	117	108	76	32	29	3	2	0	0	13	8	0	1	2	2	4	0	0	17 (23)	17 (23)	13 (14)	4 (9)	4 (7)	0 (2)	1	0	0	3 (4)	0	0 (2)	0	0	0	0 (2)	0	0	
29	AIU95730.1_immunoglobulin_kappa_light_chain_varia	No rearrangement found	Homsap IGKV3D-11*02 F	331	283	220	63	53	10	5	0	0	23	9	2	1	6	2	10	1	4	78	78	55	23	21	2	1	0	0	7	5	0	0	4	1	5	0	0	36	18	15	3	2	1	0	0	0	1	0	0	1	0	0	0	0	1	51	51	43	8	8	0	2	0	0	4	0	0	0	0	0	2	0	0	30	9	5	4	4	0	0	0	0	1	1	0	0	1	0	1	0	0	117	108	85	23	16	7	2	0	0	10	3	1	0	1	1	2	1	2	19	19	17	2	2	0	0	0	0	0	0	1	0	0	0	0	0	1	
